timestamp,duration,memory
2135288,49,150
2135450,30,150
2135903,49,150
2136075,30,150
2136157,30,150
2136483,49,150
2136641,49,150
2136963,30,150
2137167,10,147
2137427,30,150
2137647,49,150
2137887,30,150
2138036,677,176
2138059,49,150
2138253,49,150
2138293,30,150
2138294,874,187
2138647,49,150
2138708,30,150
2138880,30,150
2139042,30,150
2139115,49,150
2139178,30,150
2139247,30,150
2139593,30,150
2139640,30,150
2139755,30,150
2139772,49,150
2139779,10,147
2139786,49,150
2140034,49,150
2140094,894,177
2140289,30,150
2140292,30,150
2140362,30,150
2140993,49,150
2141144,812,177
2141180,49,150
2141295,30,150
2141370,30,150
2141433,841,176
2141500,49,150
2141752,49,150
2141836,30,150
2142028,49,150
2142304,49,150
2142424,30,150
2142480,30,150
2142630,49,150
2142746,30,150
2142781,49,150
2142848,30,150
2143007,30,150
2143197,30,150
2143331,30,150
2143363,10,147
2143487,49,150
2143733,49,150
2143817,628,177
2144051,49,150
2144060,30,150
2144075,30,150
2144534,49,150
2144710,30,150
2144718,30,150
2144749,49,150
2145154,49,150
2145319,30,150
2145338,49,150
2145557,49,150
2145729,30,150
2145769,874,187
2146016,49,150
2146046,49,150
2146559,49,150
2146638,30,150
2146836,26031,148
2147019,30,150
2147160,49,150
2147546,172,147
2147627,49,150
2147696,49,150
2148072,49,150
2148088,49,150
2148192,30,150
2148204,49,150
2148525,49,150
2148785,3,125
2148899,49,150
2149216,30,150
2149424,49,150
2149550,30,150
2149597,30,150
2149659,49,150
2149709,113,127
2150010,30,150
2150053,835,128
2150171,49,150
2150185,30,150
2150447,49,150
2150594,10,147
2150608,93,203
2150848,30,150
2150924,30,150
2150963,49,150
2150991,49,150
2151015,10,147
2151035,49,150
2151122,10,147
2151204,49,150
2151228,49,150
2151280,829,179
2151420,49,150
2151458,49,150
2151469,49,150
2151633,49,150
2151757,861,178
2151761,30,150
2151981,4167,375
2152206,30,150
2152391,49,150
2152521,49,150
2152531,49,150
2152613,30,150
2153042,49,150
2153302,586,137
2153327,49,150
2153483,1900,375
2153699,697,187
2154042,30,150
2154053,49,150
2154053,49,150
2154229,49,150
2154241,49,150
2154362,30,150
2154531,30,150
2154643,30,150
2154956,652,178
2155077,30,150
2155129,30,150
2155169,49,150
2155247,30,150
2155312,30,150
2155497,30,150
2155562,243,203
2155949,49,150
2155968,30,150
2156020,49,150
2156122,49,150
2156351,30,150
2156472,30,150
2156936,49,150
2156960,49,150
2157015,49,150
2157193,833,177
2157471,49,150
2157504,49,150
2157777,30,150
2157971,49,150
2158088,30,150
2158146,49,150
2158194,30,150
2158312,30,150
2158371,30,150
2158499,49,150
2158992,30,150
2159377,30,150
2159389,30,150
2159617,30,150
2159629,919,185
2159771,49,150
2159821,49,150
2159838,30,150
2160483,30,150
2160574,49,150
2160583,30,150
2160586,49,150
2160607,49,150
2160663,49,150
2160696,258,203
2161038,49,150
2161383,30,150
2161422,49,150
2161861,30,150
2161929,49,150
2161964,49,150
2162946,30,150
2163360,49,150
2163461,30,150
2163550,586,137
2163640,49,150
2164155,93,203
2164375,30,150
2164390,49,150
2164481,859,174
2164600,30,150
2164751,30,150
2164796,30,150
2164912,30,150
2164931,49,150
2165020,49,150
2165150,30,150
2165278,49,150
2165281,49,150
2165394,49,150
2165437,30,150
2165439,49,150
2165617,49,150
2165936,49,150
2165950,49,150
2166119,14,113
2166122,49,150
2166368,49,150
2166402,30,150
2166602,30,150
2166676,30,150
2166908,10,147
2167008,49,150
2167139,10,147
2167141,30,150
2167310,120,95
2167623,49,150
2167655,30,150
2167820,49,150
2168106,30,150
2168221,30,150
2168471,30,150
2168534,30,150
2168770,30,150
2168954,841,176
2169082,30,150
2169150,49,150
2169316,49,150
2169412,30,150
2169534,30,150
2169783,30,150
2169854,30,150
2170015,30,150
2170075,93,203
2170408,49,150
2170618,49,150
2170744,30,150
2171179,49,150
2171530,49,150
2171561,30,150
2171772,30,150
2171838,49,150
2172097,49,150
2172404,49,150
2172601,30,150
2172928,49,150
2172928,30,150
2173065,49,150
2173111,30,150
2173239,30,150
2173639,819,175
2173978,10,147
2174036,30,150
2174106,49,150
2174186,49,150
2174186,30,150
2174483,30,150
2174743,49,150
2175543,49,150
2175663,30,150
2175983,49,150
2176025,30,150
2176119,93,203
2176446,49,150
2176533,30,150
2176585,30,150
2176614,49,150
2176693,49,150
2176766,30,150
2176794,49,150
2176807,49,150
2176861,49,150
2177041,1900,375
2177187,49,150
2177473,30,150
2177584,30,150
2177796,10,147
2177806,30,150
2177945,49,150
2178090,30,150
2178249,30,150
2178996,6,147
2179044,30,150
2179046,49,150
2179132,30,150
2179720,30,150
2180193,49,150
2180197,49,150
2180198,30,150
2180265,49,150
2180403,30,150
2180716,796,375
2181056,30,150
2181347,864,137
2181661,49,150
2181707,30,150
2181745,7373,375
2181768,49,150
2181771,49,150
2181849,49,150
2182380,30,150
2182812,30,150
2183033,49,150
2183106,30,150
2183216,49,150
2183224,49,150
2183439,30,150
2183627,49,150
2183678,49,150
2183775,49,150
2184016,30,150
2184074,49,150
2184094,10,147
2184176,30,150
2184197,10,147
2184200,30,150
2184275,30,150
2184283,30,150
2184375,49,150
2185109,49,150
2185194,49,150
2185261,30,150
2185315,835,128
2185629,49,150
2185634,30,150
2185709,49,150
2186148,30,150
2186235,30,150
2186299,49,150
2186381,10,147
2186455,49,150
2186839,93,203
2187037,30,150
2187049,49,150
2187316,30,150
2187459,11,106
2187694,49,150
2187774,30,150
2187802,49,150
2187896,49,150
2187978,30,150
2188270,49,150
2188578,49,150
2188589,49,150
2189101,49,150
2189212,30,150
2189535,49,150
2189555,49,150
2189612,49,150
2190393,30,150
2190487,49,150
2190552,30,150
2190822,30,150
2191193,49,150
2191258,30,150
2191550,30,150
2191603,30,150
2191894,4167,375
